logical_pauli,input_label,choi_reference_operator,output_label_Aprime_E,pair_symplectic,input_gram_row,output_gram_row
X1,+_XX___,+_XX___,+XYX_,1,01000000,01000000
Z1,+_Y____,-_Y____,+XYY_,,10000000,10000000
X2,+X__X__,+X__X__,+XXZX,1,00010000,00010000
Z2,+Z_X___,+Z_X___,-XXZZ,,00100000,00100000
X3,+__XXX_,+__XXX_,-X___,1,00000100,00000100
Z3,+XYZX__,-XYZX__,-YZ__,,00001000,00001000
X4,+___XXX,+___XXX,+XXZ_,1,00000001,00000001
Z4,+YYZZ__,+YYZZ__,-XY_Y,,00000010,00000010
