case_id,message_qubits,qiskit_version,seed,heuristic,trials,route_differs_from_orelia,deterministic_rerun_equal,reproducible_route_accepted,channel_certified_accepted,phase_mutation_accepted,permutation_mutation_accepted,strict_failed_checks,channel_failed_checks,phase_failed_checks,permutation_failed_checks,entanglement_fidelity,logical_depth,logical_cnot,orelia_routed_depth,sabre_routed_depth,depth_ratio_sabre_over_orelia,orelia_routed_cnot,sabre_routed_cnot,cnot_ratio_sabre_over_orelia,sabre_movement_swaps,adapter_restoration_swaps,route_seconds_first_run,sabre_artifact_hash,phase_artifact_hash,permutation_artifact_hash,regression_pass
a1,1,2.5.1,20260803,decay,1,True,True,False,True,False,False,deterministic_routing;resource_accounting,,reduced_choi_channel;certificate_signature_claims;circuit_entanglement_fidelity,restored_final_order_declaration,1,12,14,46,49,1.065217391,62,68,1.096774194,9,9,0.275550250,415f8a305f19c9aae417c792492b7d7efea95e09fea45dc75d64e1a504a69b89,39405b992da588677fe2713f8ea40b4ce8595d8c79fff2da37373b47fb560649,93aeca096b1c7560648181f15b11cd1ca102ee4a1542d9a38d3b4f8d173a69b3,True
a8,8,2.5.1,20260803,decay,1,True,True,False,True,False,False,deterministic_routing;resource_accounting,,reduced_choi_channel;certificate_signature_claims;circuit_entanglement_fidelity,restored_final_order_declaration,1,82,111,391,584,1.493606138,687,939,1.366812227,138,138,1.746531291,c742d220c7c8291df9260c153e6d7ddbcd7792f3cb06e18f79bf5dc5ad6b627f,ca67c9165c9afafb57a72011ee589a0e5ef01a435a90712380f952cadebb3868,59b5fc742eb4112061cf3bc82ca3ea7275013e96100c7805075d499359e504bf,True
a12,12,2.5.1,20260803,decay,1,True,True,False,True,False,False,deterministic_routing;resource_accounting,,reduced_choi_channel;certificate_signature_claims;circuit_entanglement_fidelity,restored_final_order_declaration,1,154,229,464,668,1.439655172,751,1177,1.567243675,158,158,6.846353125,6144101485fb0358d58741d9d16beb640d12d84b2796f5827c000017043b605a,545a1808d1cf709474de15725af84fdcdfa687e4efa2dc7ab4a5b8ab4ef8cfc4,f81de1cc1a141207a83e9124289a258b9d0973e90ac7d3163aa741dd4b5cf811,True
