logical_pauli,input_label,choi_reference_operator,output_label_Aprime_E,pair_symplectic,input_gram_row,output_gram_row
X1,+XX____,+XX____,+ZYZX,1,01000000,01000000
Z1,+Z_X___,+Z_X___,-XYYZ,,10000000,10000000
X2,+_X_X__,+_X_X__,-YZYZ,1,00010000,00010000
Z2,+ZY____,-ZY____,-_ZZZ,,00100000,00100000
X3,+___XX_,+___XX_,-Z_Z_,1,00000100,00000100
Z3,+ZY_Z__,-ZY_Z__,+YY_Y,,00001000,00001000
X4,+__X_XX,+__X_XX,-XZYY,1,00000001,00000001
Z4,+XXY___,-XXY___,-ZXZY,,00000010,00000010
