logical_pauli,input_label,choi_reference_operator,output_label_Aprime_E,pair_symplectic,input_gram_row,output_gram_row
X1,+XX____,+XX____,+_Y__,1,01000000,01000000
Z1,+Y_X___,-Y_X___,+_ZX_,,10000000,10000000
X2,+___X__,+___X__,+___Z,1,00010000,00010000
Z2,+___Z__,+___Z__,+Z__X,,00100000,00100000
X3,+____X_,+____X_,+Y__Z,1,00000100,00000100
Z3,+____Z_,+____Z_,+Z___,,00001000,00001000
X4,+_X___X,+_X___X,-_YZ_,1,00000001,00000001
Z4,+YZX___,-YZX___,-_YY_,,00000010,00000010
