case,seed,scrambler_layers,emission_time,support_dimension,logical_qubits,output_qubits_Aprime_Epetz,discarded_syndrome_qubits,abstract_petz_entanglement_fidelity,synthesized_entanglement_fidelity,max_operator_error_complete_basis,max_operator_error_random_states,choi_state_fidelity_after_syndrome_trace,choi_reduced_purity,signed_choi_stabilizer_sets_equal,first_signed_choi_stabilizer_divergence,clifford_one_qubit_gates,clifford_cnot_count_before_routing,clifford_two_qubit_depth_before_routing,local_cnot_count_after_routing,local_swap_count_after_routing,local_two_qubit_depth_after_routing,routed_entanglement_fidelity,pauli_measurements,conditional_corrections,classical_feedback_depth,validated
no_scrambling_t1_known_swap_control,,,,32,5,5,0,1.0,1.0,0.0,0.0,1.0,1.0,,,0,12,12,12,4,12,1.0,0,0,0,True
seed4013_layers3_t2_signed_dilation,4013,3,2,8,3,4,2,0.49999999999999856,0.4999999999999976,3.1086244689504387e-15,1.7506275566149833e-15,0.9999999999999938,0.9999999999999925,True,,29,24,22,90,22,57,0.4999999999999976,0,0,0,True
