logical_pauli,input_label,choi_reference_operator,output_label_Aprime_E,pair_symplectic,input_gram_row,output_gram_row
X1,+_X____,+_X____,+_ZZ_,1,01000000,01000000
Z1,+XZ____,+XZ____,-_XZY,,10000000,10000000
X2,+__X___,+__X___,+Z_Z_,1,00010000,00010000
Z2,+__Z___,+__Z___,-_XXZ,,00100000,00100000
X3,+___X__,+___X__,-_ZZZ,1,00000100,00000100
Z3,+___Z__,+___Z__,+_Z_X,,00001000,00001000
X4,+____XX,+____XX,-YXXZ,1,00000001,00000001
Z4,+____Z_,+____Z_,+Z___,,00000010,00000010
