logical_pauli,input_label,choi_reference_operator,output_label_Aprime_E,pair_symplectic,input_gram_row,output_gram_row
X1,+X_X___,+X_X___,+YYXZ,1,01000000,01000000
Z1,+ZX____,+ZX____,+_X__,,10000000,10000000
X2,+___X__,+___X__,+_X_X,1,00010000,00010000
Z2,+___Z__,+___Z__,+ZXZY,,00100000,00100000
X3,+____X_,+____X_,+XXZX,1,00000100,00000100
Z3,+____Z_,+____Z_,-YX_X,,00001000,00001000
X4,+_X___X,+_X___X,-_XZ_,1,00000001,00000001
Z4,+XZX___,+XZX___,-Y_X_,,00000010,00000010
