logical_pauli,input_label,choi_reference_operator,output_label_Aprime_E,pair_symplectic,input_gram_row,output_gram_row
X1,+_X____,+_X____,+YXYX,1,01000000,01000000
Z1,+XZ____,+XZ____,+ZZ_Z,,10000000,10000000
X2,+___X__,+___X__,+ZZ__,1,00010000,00010000
Z2,+___Z__,+___Z__,-Y_ZY,,00100000,00100000
X3,+____X_,+____X_,+XYZZ,1,00000100,00000100
Z3,+X___Z_,+X___Z_,-Z__Z,,00001000,00001000
X4,+X_X__X,+X_X__X,+_ZYZ,1,00000001,00000001
Z4,+ZX__X_,+ZX__X_,+Z_X_,,00000010,00000010
