status,message_qubits,alphabet_size,t,support_rank,support_logical_qubits,tau_signed_generator_count,choi_qubits,choi_signed_generator_count,petz_fidelity,direct_fidelity,routed_fidelity,reduced_choi_equal,signed_phases_validated,logical_depth,logical_cnot,routed_depth,routed_cnot,swap,environment_qubits,routed_clifford_equal,final_order_restored,dense_channel_constructed,dense_tau_constructed,dense_choi_constructed,dense_state_validation_constructed,elapsed_seconds,validated,seed,scramble_depth,scrambler_connected,selected_t,selected_mutual_information_bits,selected_trace_distance,basis_states_enumerated,basis_states_collectively_certified,identity_channel_on_message_certified,timeline_seconds,construction_certification_routing_seconds,total_seconds,initial_rss_mib,peak_rss_mib,max_seconds_budget,max_rss_budget_mib,budget_pass,dense_free_chain,first_obstruction
validated,9,512,9,8192,13,0,26,26,1.0,1.0,1.0,True,True,85,114,598,1092,326,0,True,True,False,False,False,False,2.501192290801555,True,20260802,6,True,9,0,0.0,0,512,True,3.181081041926518,2.501206916058436,5.692304416093975,33.828125,40.59375,120.0,1024.0,True,True,none
validated,10,1024,12,4096,12,4,28,28,1.0,1.0,1.0,True,True,126,171,959,1833,554,0,True,True,False,False,False,False,3.848920000018552,True,20260802,6,True,12,0,0.0,0,1024,True,4.250555292004719,3.848933625034988,8.099642750108615,40.59375,40.9375,120.0,1024.0,True,True,none
validated,11,2048,12,16384,14,2,30,30,1.0,1.0,1.0,True,True,129,190,879,1642,484,0,True,True,False,False,False,False,4.798415791010484,True,20260802,6,True,12,0,0.0,0,2048,True,5.58569529117085,4.798430375056341,10.384294209070504,40.9375,41.046875,120.0,1024.0,True,True,none
validated,12,4096,14,16384,14,4,32,32,1.0,1.0,1.0,True,True,154,229,1209,2107,626,0,True,True,False,False,False,False,6.624271415872499,True,20260802,6,True,14,0,0.0,0,4096,True,7.367157165892422,6.624284124933183,13.991606042021886,41.046875,41.234375,120.0,1024.0,True,True,none
