logical_pauli,input_label,choi_reference_operator,output_label_Aprime_E,pair_symplectic,input_gram_row,output_gram_row
X1,+__X___,+__X___,+XX_X,1,01000000,01000000
Z1,+_XZ___,+_XZ___,-ZZ_Z,,10000000,10000000
X2,+_X_X__,+_X_X__,-Y_XY,1,00010000,00010000
Z2,+XZX___,+XZX___,-XYZZ,,00100000,00100000
X3,+____X_,+____X_,-X_XX,1,00000100,00000100
Z3,+____Z_,+____Z_,+YYX_,,00001000,00001000
X4,+X__X_X,+X__X_X,-YZYX,1,00000001,00000001
Z4,+YX____,-YX____,+_ZYZ,,00000010,00000010
