logical_pauli,input_label,choi_reference_operator,output_label_Aprime_E,pair_symplectic,input_gram_row,output_gram_row
X1,+_X____,+_X____,+X_YY,1,01000000,01000000
Z1,+_Z____,+_Z____,+XYZY,,10000000,10000000
X2,+X__X__,+X__X__,-Z__X,1,00010000,00010000
Z2,+Y_____,-Y_____,+Y_X_,,00100000,00100000
X3,+____X_,+____X_,-Y__Z,1,00000100,00000100
Z3,+____Z_,+____Z_,-XXZZ,,00001000,00001000
X4,+__X__X,+__X__X,+ZZYX,1,00000001,00000001
Z4,+__YX__,-__YX__,+YY_Z,,00000010,00000010
