logical_pauli,input_label,choi_reference_operator,output_label_Aprime_E,pair_symplectic,input_gram_row,output_gram_row
X1,+_X____,+_X____,-_ZYZ,1,01000000,01000000
Z1,+_Z____,+_Z____,+_X__,,10000000,10000000
X2,+__X___,+__X___,+__ZX,1,00010000,00010000
Z2,+__Z___,+__Z___,-_XYX,,00100000,00100000
X3,+X__X__,+X__X__,-_X_X,1,00000100,00000100
Z3,+Y____X,-Y____X,+Y_XY,,00001000,00001000
X4,+___XX_,+___XX_,-XX_X,1,00000001,00000001
Z4,+Y__Z_X,-Y__Z_X,-Y___,,00000010,00000010
