regime,trial,t,algorithm,two_qubit_depth,entanglement_fidelity,cp_by_kraus,trace_preservation_error,minimum_completeness_eigenvalue,support_dimension,support_cutoff,output_dimension,choi_dimension,support_trace_preservation_error,mutual_information_bits,H2_R_given_C_bits,renyi2_candidate,von_neumann_candidate,petz_minus_renyi2_candidate,petz_minus_von_neumann_candidate,rank_rho_RC,rank_rho_C,spectrum_rho_RC,spectrum_rho_C,stabilizer_dim_RC,stabilizer_dim_C,stabilizer_dim_R,stabilizer_correlation_rank_r,accessible_message_pauli_rank_in_C
deep,13,3,petz,,0.9999999999999953,True,2.0411239895016036e-15,0.9999999999999986,8,3.535533905932737e-13,128,256,8.538853143787271e-15,2.220446049250313e-15,1.0000000000000029,1.000000000000002,0.9999999999999984,-6.661338147750939e-15,-3.1086244689504383e-15,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
deep,13,4,petz,,0.9999999999999948,True,1.0990648284131813e-15,0.9999999999999992,4,4.999999999999999e-13,256,512,6.432082638748628e-15,8.881784197001252e-16,1.0000000000000002,1.0000000000000002,0.9999999999999993,-5.440092820663267e-15,-4.551914400963142e-15,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
deep,13,5,petz,,1.0000000000000222,True,6.280370304323713e-16,0.9999999999999996,2,7.071067811865474e-13,512,1024,3.16698623774564e-14,0.0,1.0000000000000013,1.0000000000000009,1.0,2.1316282072803006e-14,2.220446049250313e-14,2,1,0.5;0.5,1,0,0,0,0,0
deep,14,1,petz,,0.9999999999999964,True,4.8672866219197025e-15,0.9999999999999966,32,1.767766952966367e-13,32,64,4.918339877165065e-15,2.6645352591003757e-15,1.0000000000000044,1.000000000000003,0.9999999999999981,-6.661338147750939e-15,-1.6653345369377348e-15,32,16,0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0,0,0,0,0
deep,14,2,petz,,0.999999999999996,True,4.867286628825006e-15,0.9999999999999966,16,2.499999999999998e-13,64,128,5.170124239566699e-15,6.217248937900877e-15,1.0000000000000067,1.0000000000000047,0.9999999999999957,-8.659739592076221e-15,3.3306690738754696e-16,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
deep,14,3,petz,,0.9999999999999947,True,2.355138691593403e-15,0.9999999999999983,8,3.5355339059327364e-13,128,256,6.9941047761394154e-15,2.6645352591003757e-15,1.0000000000000033,1.0000000000000022,0.9999999999999981,-7.549516567451064e-15,-3.4416913763379853e-15,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
deep,14,4,petz,,0.9999999999999915,True,1.2560762377923347e-15,0.9999999999999991,4,4.999999999999999e-13,256,512,1.0898146998389006e-14,8.881784197001252e-16,1.0000000000000002,1.0000000000000002,0.9999999999999993,-8.770761894538737e-15,-7.882583474838611e-15,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
deep,14,5,petz,,0.9999999999999962,True,6.280382454919002e-16,0.9999999999999996,2,7.071067811865475e-13,512,1024,1.1461831677527487e-14,0.0,1.0000000000000013,1.0000000000000009,1.0,-4.6629367034256575e-15,-3.774758283725532e-15,2,1,0.5;0.5,1,0,0,0,0,0
deep,15,1,petz,,0.4999999999999987,True,3.611212654972683e-15,0.9999999999999974,16,2.4999999999999984e-13,32,64,2.6680396294855735e-15,1.0000000000000009,4.004283129768653e-15,0.5000000000000013,0.49999999999999967,-2.609024107869118e-15,-9.43689570931383e-16,16,16,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,1,0,0,1,1
deep,15,2,petz,,0.4999999999999985,True,2.9831756714991726e-15,0.9999999999999979,8,3.5355339059327343e-13,64,128,2.678542189026999e-15,1.0000000000000004,2.5627412030519365e-15,0.5000000000000009,0.49999999999999983,-2.3869795029440866e-15,-1.3322676295501878e-15,8,8,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,1,0,0,1,1
deep,15,3,petz,,0.4999999999999977,True,3.925231146709438e-15,0.9999999999999972,4,4.999999999999998e-13,128,256,3.937711611340034e-15,1.000000000000001,7.528052283965076e-15,0.5000000000000027,0.4999999999999996,-4.9404924595819466e-15,-1.887379141862766e-15,4,4,0.25;0.25;0.25;0.25,0.25;0.25;0.25;0.25,1,0,0,1,1
deep,15,4,petz,,0.9999999999999943,True,3.925231146709438e-15,0.9999999999999972,4,4.999999999999997e-13,256,512,5.107983405332191e-15,1.7763568394002505e-15,1.0000000000000027,1.0000000000000018,0.9999999999999988,-7.438494264988549e-15,-4.440892098500626e-15,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
deep,15,5,petz,,0.9999999999999962,True,2.0411201962889075e-15,0.9999999999999986,2,7.071067811865473e-13,512,1024,1.7271017045521525e-15,0.0,1.0000000000000042,1.0000000000000029,1.0,-6.661338147750939e-15,-3.774758283725532e-15,2,1,0.5;0.5,1,0,0,0,0,0
deep,16,1,petz,,0.9999999999999979,True,4.39625888431457e-15,0.9999999999999969,32,1.7677669529663674e-13,32,64,5.4033518447776566e-15,5.329070518200751e-15,1.0000000000000056,1.0000000000000038,0.9999999999999963,-5.88418203051333e-15,1.5543122344752192e-15,32,16,0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0,0,0,0,0
deep,16,2,petz,,0.9999999999999958,True,2.198129442157285e-15,0.9999999999999984,16,2.499999999999999e-13,64,128,5.9136517109410636e-15,2.6645352591003757e-15,1.0000000000000038,1.0000000000000027,0.9999999999999981,-6.8833827526759706e-15,-2.3314683517128287e-15,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
deep,16,3,petz,,0.9999999999999963,True,9.42055475210265e-16,0.9999999999999993,8,3.5355339059327374e-13,128,256,8.897747804864626e-15,1.3322676295501878e-15,1.0000000000000022,1.0000000000000016,0.9999999999999991,-5.218048215738236e-15,-2.7755575615628914e-15,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
deep,16,4,petz,,1.0000000000000058,True,4.710277376051325e-16,0.9999999999999997,4,4.999999999999999e-13,256,512,1.0962593195186327e-14,0.0,1.0000000000000007,1.0000000000000004,1.0,5.329070518200751e-15,5.773159728050814e-15,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
deep,16,5,petz,,0.9999999999999853,True,3.1401849173675503e-16,0.9999999999999998,2,7.071067811865526e-13,512,1024,3.4303647336825566e-14,0.0,1.0000000000000007,1.0000000000000004,1.0,-1.509903313490213e-14,-1.4654943925052066e-14,2,1,0.5;0.5,1,0,0,0,0,0
deep,17,1,petz,,0.4999999999999981,True,4.8672866219197025e-15,0.9999999999999966,16,2.4999999999999974e-13,32,64,4.0270462829314755e-15,1.0000000000000036,6.887366983202089e-15,0.5000000000000023,0.4999999999999988,-4.218847493575595e-15,-6.661338147750939e-16,16,16,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,1,0,0,1,1
deep,17,2,petz,,0.9999999999999956,True,2.3551386880256627e-15,0.9999999999999983,16,2.499999999999999e-13,64,128,7.901293494669636e-15,3.9968028886505635e-15,1.0000000000000029,1.000000000000002,0.9999999999999972,-6.439293542825908e-15,-1.6653345369377348e-15,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
deep,17,3,petz,,0.9999999999999969,True,1.2560739669470201e-15,0.9999999999999991,8,3.5355339059327374e-13,128,256,8.866978698700403e-15,8.881784197001252e-16,1.0000000000000009,1.0000000000000007,0.9999999999999993,-3.774758283725532e-15,-2.4424906541753444e-15,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
deep,17,4,petz,,1.0000000000000022,True,6.280369834735101e-16,0.9999999999999996,4,4.999999999999999e-13,256,512,8.708668027169752e-15,2.220446049250313e-16,1.0000000000000007,1.0000000000000004,0.9999999999999999,1.7763568394002505e-15,2.3314683517128287e-15,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
deep,17,5,petz,,0.9999999999999853,True,3.1401849173675503e-16,0.9999999999999998,2,7.071067811865525e-13,512,1024,3.5677108874512995e-14,0.0,1.0000000000000007,1.0000000000000004,1.0,-1.509903313490213e-14,-1.4654943925052066e-14,2,1,0.5;0.5,1,0,0,0,0,0
deep,18,1,petz,,0.4999999999999982,True,4.8672866219197025e-15,0.9999999999999966,16,2.4999999999999974e-13,32,64,3.58918836474398e-15,1.0000000000000053,7.528052283965076e-15,0.5000000000000027,0.49999999999999817,-4.440892098500626e-15,5.551115123125783e-17,16,16,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,1,0,0,1,1
deep,18,2,petz,,0.9999999999999958,True,2.3551386880256627e-15,0.9999999999999983,16,2.499999999999999e-13,64,128,6.4864644933893094e-15,3.552713678800501e-15,1.0000000000000058,1.000000000000004,0.9999999999999976,-8.215650382226158e-15,-1.7763568394002505e-15,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
deep,18,3,petz,,0.9999999999999977,True,1.2560739669470201e-15,0.9999999999999991,8,3.5355339059327374e-13,128,256,9.137645156443364e-15,1.3322676295501878e-15,1.0000000000000022,1.0000000000000016,0.9999999999999991,-3.885780586188048e-15,-1.4432899320127035e-15,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
deep,18,4,petz,,1.0000000000000018,True,6.280369834735101e-16,0.9999999999999996,4,4.999999999999999e-13,256,512,8.852422683614001e-15,0.0,1.0000000000000007,1.0000000000000004,1.0,1.3322676295501878e-15,1.7763568394002505e-15,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
deep,18,5,petz,,0.9999999999999853,True,3.1401849173675503e-16,0.9999999999999998,2,7.071067811865529e-13,512,1024,3.5929562794256595e-14,0.0,1.0000000000000007,1.0000000000000004,1.0,-1.509903313490213e-14,-1.4654943925052066e-14,2,1,0.5;0.5,1,0,0,0,0,0
deep,19,1,petz,,0.4999999999999982,True,4.9464142581768705e-15,0.9999999999999964,16,2.499999999999996e-13,32,64,2.9266744692490627e-15,1.0000000000000009,3.5237691541964136e-15,0.5000000000000012,0.49999999999999967,-2.9976021664879227e-15,-1.4432899320127035e-15,16,16,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,1,0,0,1,1
deep,19,2,petz,,0.4999999999999972,True,4.9464142581768705e-15,0.9999999999999964,8,3.5355339059327333e-13,64,128,3.872081604747952e-15,1.0000000000000027,8.32890890991881e-15,0.5000000000000029,0.49999999999999906,-5.662137425588298e-15,-1.8318679906315083e-15,8,8,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,1,0,0,1,1
deep,19,3,petz,,0.49999999999999767,True,3.972054645195637e-15,0.999999999999996,4,4.999999999999995e-13,128,256,3.1451079041403415e-15,1.000000000000001,3.5237691541964136e-15,0.5000000000000012,0.4999999999999996,-3.552713678800501e-15,-1.942890293094024e-15,4,4,0.25;0.25;0.25;0.25,0.25;0.25;0.25;0.25,1,0,0,1,1
deep,19,4,petz,,0.9999999999999905,True,1.9860273225978185e-15,0.9999999999999987,4,5e-13,256,512,1.1519246439636328e-14,4.440892098500626e-16,1.0000000000000002,1.0000000000000002,0.9999999999999997,-9.769962616701378e-15,-9.2148511043888e-15,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
deep,19,5,petz,,0.9999999999999969,True,9.930136612989092e-16,0.9999999999999991,2,7.071067811865476e-13,512,1024,3.988699297339181e-15,0.0,1.0000000000000013,1.0000000000000009,1.0,-3.9968028886505635e-15,-3.1086244689504383e-15,2,1,0.5;0.5,1,0,0,0,0,0
deep,20,1,petz,,0.9999999999999958,True,4.8672866219197025e-15,0.9999999999999966,32,1.7677669529663664e-13,32,64,5.597174288903446e-15,4.440892098500626e-15,1.0000000000000058,1.000000000000004,0.9999999999999969,-8.215650382226158e-15,-1.1102230246251565e-15,32,16,0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125;0.03125,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0,0,0,0,0
deep,20,2,petz,,0.9999999999999969,True,4.8672866219197025e-15,0.9999999999999966,16,2.499999999999996e-13,64,128,4.725855158951121e-15,4.440892098500626e-15,1.000000000000006,1.0000000000000042,0.9999999999999969,-7.327471962526033e-15,0.0,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
deep,20,3,petz,,0.9999999999999948,True,4.8672866219197025e-15,0.9999999999999966,8,3.535533905932734e-13,128,256,4.8080376024141735e-15,5.773159728050814e-15,1.0000000000000084,1.0000000000000058,0.999999999999996,-1.099120794378905e-14,-1.2212453270876722e-15,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
deep,20,4,petz,,0.9999999999999923,True,4.8672866219197025e-15,0.9999999999999966,4,4.999999999999996e-13,256,512,5.585762273553803e-15,2.6645352591003757e-15,1.0000000000000027,1.0000000000000018,0.9999999999999981,-9.43689570931383e-15,-5.773159728050814e-15,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
deep,20,5,petz,,0.9999999999999853,True,2.5121479338940403e-15,0.9999999999999982,2,7.071067811865474e-13,512,1024,1.1854073006331762e-14,0.0,1.000000000000005,1.0000000000000036,1.0,-1.8207657603852567e-14,-1.4654943925052066e-14,2,1,0.5;0.5,1,0,0,0,0,0
deep,21,1,petz,,0.4999999999999984,True,4.39625888431457e-15,0.9999999999999969,16,2.499999999999997e-13,32,64,2.9781728435769355e-15,0.9999999999999982,4.805139755722384e-15,0.5000000000000017,0.5000000000000007,-3.2751579226442118e-15,-2.275957200481571e-15,16,16,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,1,0,0,1,1
deep,21,2,petz,,0.9999999999999977,True,4.710277376051325e-15,0.9999999999999967,16,2.4999999999999964e-13,64,128,4.475940901008971e-15,3.1086244689504383e-15,1.0000000000000047,1.0000000000000033,0.9999999999999979,-5.662137425588298e-15,-2.220446049250313e-16,16,8,0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625;0.0625,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0,0,0,0,0
deep,21,3,petz,,0.9999999999999963,True,4.710277376051325e-15,0.9999999999999967,8,3.5355339059327343e-13,128,256,5.023560089626674e-15,4.884981308350689e-15,1.0000000000000084,1.0000000000000058,0.9999999999999966,-9.43689570931383e-15,-2.220446049250313e-16,8,4,0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125,0.25;0.25;0.25;0.25,0,0,0,0,0
deep,21,4,petz,,0.9999999999999928,True,2.3551386880256627e-15,0.9999999999999983,4,4.999999999999998e-13,256,512,7.46795137052403e-15,1.3322676295501878e-15,1.0000000000000016,1.000000000000001,0.9999999999999991,-8.326672684688674e-15,-6.328271240363392e-15,4,2,0.25;0.25;0.25;0.25,0.5;0.5,0,0,0,0,0
